# recId, recx, recz
1,0,0
2,150,0
3,300,0
4,450,0
5,600,0
6,750,0
7,900,0
8,1050,0
9,1200,0
10,1350,0
11,1500,0
12,1650,0
13,1800,0
14,1950,0
15,2100,0
16,2250,0
17,2400,0
18,2550,0
19,2700,0
20,2850,0
21,3000,0
22,3150,0
23,3300,0
24,3450,0
25,3600,0
26,3750,0
27,3900,0
28,4050,0
29,4200,0
30,4350,0
31,4500,0
32,4650,0
33,4800,0
34,4950,0
35,5100,0
36,5250,0
37,5400,0
38,5550,0
39,5700,0
40,5850,0
41,6000,0
42,6150,0
43,6300,0
44,6450,0
45,6600,0
46,6750,0
47,6900,0
48,7050,0
49,7200,0
50,7350,0
51,7500,0
52,7650,0
53,7800,0
54,7950,0
55,8100,0
56,8250,0
57,8400,0
58,8550,0
59,8700,0
60,8850,0
61,9000,0
62,9150,0
63,9300,0
64,9450,0
65,9600,0
66,9750,0
67,9900,0
68,10050,0
69,10200,0
70,10350,0
71,10500,0
72,10650,0
73,10800,0
74,10950,0
75,11100,0
76,11250,0
77,11400,0
78,11550,0
79,11700,0
80,11850,0
81,12000,0
82,12150,0
83,12300,0
84,12450,0
85,12600,0
86,12750,0
87,12900,0
88,13050,0
89,13200,0
90,13350,0
91,13500,0
92,13650,0
93,13800,0
94,13950,0
95,14100,0
96,14250,0
97,14400,0
98,14550,0
99,14700,0
100,14850,0
101,15000,0
102,15150,0
103,15300,0
104,15450,0
105,15600,0
106,15750,0
107,15900,0
108,16050,0
109,16200,0
110,16350,0
111,16500,0
112,16650,0
113,16800,0

